"","ENSEMBL","SYMBOL","SRR9309444_SAM_Outputfile_Counts","SRR9309445_SAM_Outputfile_Counts"
"319","ENSG00000012660","ELOVL5",12356,11571
"320","ENSG00000012779","ALOX5",170,38
"321","ENSG00000012817","KDM5D",0,0
"322","ENSG00000012822","CALCOCO1",15844,10288
"323","ENSG00000012963","UBR7",2970,2145
"324","ENSG00000012983","MAP4K5",18127,15092
"325","ENSG00000013016","EHD3",15321,13465
"326","ENSG00000013275","PSMC4",6970,7494
"327","ENSG00000013288","MAN2B2",16152,15525
"328","ENSG00000013293","SLC7A14",168,62
"329","ENSG00000013297","CLDN11",8090,4973
"330","ENSG00000013306","SLC25A39",12389,11322
"331","ENSG00000013364","MVP",33267,39280
"332","ENSG00000013374","NUB1",10505,8423
"333","ENSG00000013375","PGM3",13609,10312
"334","ENSG00000013392","RWDD2A",2242,1901
"335","ENSG00000013441","CLK1",4254,2244
"336","ENSG00000013503","POLR3B",1554,1482
"337","ENSG00000013523","ANGEL1",3086,2322
"338","ENSG00000013561","RNF14",6399,4935
"339","ENSG00000013563","DNASE1L1",2893,3435
"340","ENSG00000013573","DDX11",1310,1033
"341","ENSG00000013583","HEBP1",6386,6399
"342","ENSG00000013588","GPRC5A",21323,20614
"343","ENSG00000013619","MAMLD1",1947,1900
"344","ENSG00000013725","CD6",45,10
"345","ENSG00000013810","TACC3",608,708
"346","ENSG00000014123","UFL1",4884,2696
"347","ENSG00000014138","POLA2",241,242
"348","ENSG00000014164","ZC3H3",2903,2435
"349","ENSG00000014216","CAPN1",14239,16497
"350","ENSG00000014257","ACP3",2,4
"351","ENSG00000014641","MDH1",12846,12444
"352","ENSG00000014824","SLC30A9",8958,7439
"353","ENSG00000014914","MTMR11",2397,1909
"354","ENSG00000014919","COX15",2554,2126
"355","ENSG00000015133","CCDC88C",198,141
"356","ENSG00000015153","YAF2",1518,1149
"357","ENSG00000015171","ZMYND11",12373,8715
"358","ENSG00000015285","WAS",136,56
"359","ENSG00000015413","DPEP1",0,1
"360","ENSG00000015475","BID",3148,2450
"361","ENSG00000015479","MATR3",421,222
"362","ENSG00000015520","NPC1L1",11,3
"363","ENSG00000015532","XYLT2",8403,6240
"364","ENSG00000015568","RGPD5",147,15
"365","ENSG00000015592","STMN4",7,1
"366","ENSG00000015676","NUDCD3",11762,9593
"367","ENSG00000016082","ISL1",0,0
"368","ENSG00000016391","CHDH",256,163
"369","ENSG00000016402","IL20RA",40,106
"370","ENSG00000016490","CLCA1",0,0
"371","ENSG00000016602","CLCA4",0,0
"372","ENSG00000016864","GLT8D1",8740,6450
"373","ENSG00000017260","ATP2C1",13448,10874
"374","ENSG00000017427","IGF1",5,4
"375","ENSG00000017483","SLC38A5",796,335
"376","ENSG00000017797","RALBP1",11607,11117
"377","ENSG00000018189","RUFY3",3867,2902
"378","ENSG00000018236","CNTN1",119,14
"379","ENSG00000018280","SLC11A1",628,116
"380","ENSG00000018408","WWTR1",15521,12852
"381","ENSG00000018510","AGPS",7288,5541
"382","ENSG00000018607","ZNF806",0,0
"383","ENSG00000018610","STEEP1",1924,1354
"384","ENSG00000018625","ATP1A2",606,942
"385","ENSG00000018699","TTC27",1969,1831
"386","ENSG00000018869","ZNF582",334,116
"387","ENSG00000019102","VSIG2",15,0
"388","ENSG00000019144","PHLDB1",18994,17037
"389","ENSG00000019169","MARCO",43,3
"390","ENSG00000019186","CYP24A1",0,0
"391","ENSG00000019485","PRDM11",1342,1092
"392","ENSG00000019505","SYT13",28,28
"393","ENSG00000019549","SNAI2",1835,1457
"394","ENSG00000019582","CD74",10626,3959
"395","ENSG00000019991","HGF",1025,958
"396","ENSG00000019995","ZRANB1",6777,3920
"397","ENSG00000020129","NCDN",7033,7618
"398","ENSG00000020181","ADGRA2",34166,25226
"399","ENSG00000020219","CCT8L1P",0,0
